product_id,brand,product,category,subcategory,price,size,image,no_of_reviews,about_the_product,ingredients,how_to_use
P515504,AESTURA,ATOBARRIER365 Moisturizing Cream Mist,Moisturizers,Mists & Essences,$21.00,Size: 4.05 oz/120 ml,https://www.sephora.com/productimages/sku/s2844975-main-zoom.jpg?imwidth=160,118,"Item 2844975
ONLY AT SEPHORA
What it is: A dermatologist-tested ultra-fine mist, with ceramide, that moisturizes and supports the skin barrier.

Skin Type:Normal, Dry, and Combination

Skincare Concerns: Dryness

Formulation: Liquid

Highlighted Ingredients:
- 10,000 PPM Ceramides: Moisturize and support skin barrier.
-Triple Lipid Complex: Ceramides, fatty acids, and cholesterol mimic skin lipids to lock in moisture.

Ingredient Callouts: Free of parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, sulfates SLS & SLES, triclocarban, triclosan, and contains less than one percent synthetic fragrance. It is also vegan, gluten-free, cruelty-free, and comes in recyclable packaging.

What Else You Need to Know: This is the number one dermatologist-recommended brand in Korea for sensitive skin. This mist will nouirsh skin throughout the day, even over makeup.

Show less","-10,000 PPM Ceramides: Moisturize and support skin barrier.
-Triple Lipid Complex: Ceramides, fatty acids, and cholesterol mimic skin lipids to lock in moisture.

Water / Aqua / Eau, Glycerin, Butylene Glycol, Caprylic/Capric Triglyceride, Hydrogenated Poly(C6-14 Olefin), Dimethicone, Cetyl Ethylhexanoate, Hydroxypropyl Bislauramide Mea, 1,2-Hexanediol, Sodium Surfactin, Cholesterol, Glyceryl Caprylate, Disodium Edta, Ethylhexylglycerin, Behenic Acid, Tocopherol.","Suggested Usage:
-Mist evenly onto skin AM and PM as a hydrating toner.
-Use throughout the day as needed."
P511728,Caudalie,VinoHydra Moisturizing Mask,Masks,Face Masks,$42.00,Size: 2.5 oz / 75 ml,https://www.sephora.com/productimages/sku/s2744233-main-zoom.jpg?pb=clean-at-sephora&imwidth=160,181,"Item 2744233
What it is: An ultra-moisturizing mask with soothing grape water and centella asiatica to rescue dry, red, or dehydrated skin.

Skin Type: Normal, Dry, and Combination

Skincare Concerns: Dryness, Redness, and Dullness

Formulation: Mask

Highlighted Ingredients:
- Grape Water: Hydrates and soothes; rich in antioxidants and prebiotics.
- Centella Asiatica: From 100 percent natural origin, it calms and soothes irritation and redness, hydrates, and cares for and reinforces the skin barrier.
- Grapeseed Polyphenols: Rich in antioxidants and protects against free radicals.

Ingredient Callouts: This product is vegan, gluten-free, cruelty-free, and comes in recyclable packaging.

What Else You Need to Know: An ultra-moisturizing mask with prebiotic grape water and centella asiatica to soothe and nourish dry, red, or dehydrated skin. Formulated for dry and sensitive skin, it leaves skin feeling softer, more supple, and protected against dehydration.
Tip: Use as an overnight mask for softer skin by morning.

Clinical Results: In a clinical study with 30 volunteers, after 28 days:
- 100% agreed hydration is restored
- 94% agreed skin is intensely nourished

Products formulated without certain ingredients, including parabens, sulfates, phthalates, and mineral oils, from brands that have met our specific criteria for ingredient sourcing and formulation, packaging, environmental commitments, and consumer transparency. Learn more here.
Show less","-Grape Water: Hydrates and soothes; rich in antioxidants and prebiotics.
-Centella Asiatica: From 100 percent natural origin, it calms and soothes irritation and redness, hydrates, and cares for and reinforces the skin barrier.
-Grapeseed Polyphenols: Rich in antioxidants and protects against free radicals.

Aqua/Water/Eau, Vitis Vinifera (Grape) Fruit Water, Glycerin, Triheptanoin, Polyglyceryl-3 Distearate, Simmondsia Chinensis (Jojoba) Seed Oil, Squalane, Myristyl Myristate, Pentylene Glycol, Vitis Vinifera (Grape) Seed Oil, Glyceryl Stearate, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Silica, Palmitoyl Grape Seed Extract, C15-19 Alkane, Potassium Cetyl Phosphate, Glyceryl Stearate Citrate, Vitis Vinifera (Grape) Juice, Centella Asiatica Extract, Helianthus Annuus (Sunflower) Seed Oil, Polyglyceryl-6 Laurate, Tocopherol, Sodium Dehydroacetate, Citric Acid, Polyglycerin-6, Sodium Carboxymethyl Beta-Glucan, Sorbitan Oleate, Sorbitan Isostearate, Sodium Phytate, Sodium Benzoate, Potassium Sorbate, Parfum (Fragrance).

The list of ingredients is subject to change. Please consult the packaging of the product purchased.","Suggested Usage:
-Apply the VinoHydra Moisturizing Mask twice a week to perfectly cleansed skin.
-Leave on for 10 minutes then remove the excess without rinsing.

Recycling Instructions:
Tube made from recycled plastic."
P515491,AESTURA,ATOBARRIER365 Hydro CERA-HA Ceramide + Hyaluronic Acid Face Serum for Skin Moisture Barrier Repair,Treatments,Face Serums,$34.00,Size: 1.01 oz / 30 mL,https://www.sephora.com/productimages/sku/s2844991-main-zoom.jpg?imwidth=160,124,"Item 2844991
ONLY AT SEPHORA
What it is: A dermatologist-tested serum that doubles moisture retention and supports the skin barrier.
Skin Type: Normal and Dry

Skincare Concerns: Fine Lines and Wrinkles, Dryness, and Dullness

Formulation: Liquid

Highlighted Ingredients:
- CERA-HA: Hyaluronic Acid-Ceramide blend hydrates and retains moisture for longer
- Triple Lipid Complex: Ceramides, fatty acids, and cholesterol locks in moisture.
- Niacinamide, Vitamin E, and Glycerin: Deliver nourishment.

Ingredient Callouts: Free of parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, sulfates SLS & SLES, triclocarban, triclosan, and contains less than one percent synthetic fragrance. It is also vegan and gluten-free.

What Else You Need to Know: This is the number one dermatologist-recommended brand in Korea for sensitive skin. This serum contains hyaluronic acid incorporated with ceramides to support skin barriers with two-times moisture retention compared to hyaluronic acid alone.

Clinical Results: In an instrumental test on 31 women, after one application:
- When used together with Atobarrier365 Cream, +111% improvement in hydration
- Provides up to 72 hours of hydration
- Instantly boosts skin's surface hydration level by +497%

In a clinical study on 31 women:
- 100% improvement in skin barrier and moisture retention capacity

In an instrumental test on 31 women, after two weeks of daily use:
- 100% agree skin feels firmer and more hydrated
- 100% agree skin texture appears smoother
- 96% showed improvement in skin brightness & fine lines

After four weeks of daily use:
- 100% showed improvement in skin elasticity
Show less","-CERA-HA: Hyaluronic Acid-Ceramide blend hydrates and retains moisture for longer
-Triple Lipid Complex: Ceramides, fatty acids, and cholesterol locks in moisture.
-Niacinamide, Vitamin E, and Glycerin: Deliver nourishment.

Water / Aqua / Eau, Butylene Glycol, Glycerin, Niacinamide, 1,2-Hexanediol, Betaine, Panthenol, Carbomer, Ethylhexylglycerin, Sodium Hyaluronate, 3-O-Ethyl Ascorbic Acid, Cellulose Gum, Tromethamine, Sodium Trimetaphosphate, Dipotassium Glycyrrhizate, Propanediol, Adenosine, Hydroxypropyl Bispalmitamide Mea, Sodium Metaphosphate, Glyceryl Caprylate, Potassium Hydroxide, Sodium Lactate, Biosaccharide Gum-1, Caprylic/Capric Triglyceride, Pentylene Glycol, Citric Acid, Hydroxyethyl Urea, Polyglyceryl-10 Stearate, Cholesterol, Propylene Glycol, Potassium Cetyl Phosphate, Tocopherol, Ceramide Np, Mannitol, Stearic Acid, Silica, Acrylates/Ammonium Methacrylate Copolymer, Hydrogenated Lecithin, Palmitic Acid, Oleic Acid, Arachidic Acid, Sphingolipids.","Suggested Usage:
-Apply evenly onto clean skin AM and PM.
-For optimal results, use with Atobarrier365 Cream."
P476676,FaceGym,Youth Reformer Firming Vitamin C Oil Serum,Treatments,Face Serums,$116.00,Size: 1 oz/ 30 mL,https://www.sephora.com/productimages/sku/s2502953-main-zoom.jpg?pb=clean-at-sephora&imwidth=160,56,"Item 2502953
ONLY AT SEPHORA
What it is: A soothing serum—loaded with vitamin C and hyaluronic acid—that minimizes visible signs of aging by addressing lifestyle damage and skin health.

Skin Type: Normal, Dry, Combination, and Oily

Skincare Concerns: Fine Lines and Wrinkles, Redness, and Dullness

Highlighted Ingredients:
- Vitamin C and Hyaluronic Acid: Visibly minimize signs of aging, boost moisture, and support cellular rejuvenation.
- Microalgae Molecules: Fight wrinkles and other visible signs of aging.
- Patchouli and Palo Santo: Soothe skin while visibly reducing redness, signs of stress, and fatigue.

Ingredient Callouts: This product is vegan, gluten-free, and cruelty-free.

What Else You Need to Know: Powered by exclusive moves to support collagen production and visibly diminish puffiness, this unique nootropic and neuro-cosmetic oil-in-serum helps skin look and feel good. It calms visible redness and signs of stress while enhancing the mind-body connection.

Clinical Results: In a clinical instrumental study on 10 participants, microalgae molecules:
- Visibly reduced wrinkles by 15% in 15 days
- Visibly improved radiance by 20% in 30 days

In a clinical instrumental study on 26 participants, patchouli:
- Visibly reduced redness by 20% over 28 days



Clean at Sephora is our commitment to offering effective products without certain ingredients, such as parabens, sulfates, phthalates, and mineral oils. Learn more here.
Show less","-Vitamin C and Hyaluronic Acid: Visibly minimize signs of aging, boost moisture, and support cellular rejuvenation.
-Microalgae Molecules: Fight wrinkles and other visible signs of aging.
-Patchouli and Palo Santo: Soothe skin while visibly reducing redness, signs of stress, and fatigue.

Squalane, Almond/Borage/Linseed/Olive Acids/Glycerides, Borago (Borage) Officinalis Seed Oil, Ascorbyl Tetraisopalmitate, Octyldodecanol, Helianthus Annuus (Sunflower) Seed Oil, Sodium Hyaluronate, Pistacia Lentiscus (Mastic) Gum, Santalum Album (Sandalwood) Wood Oil, Carapa Guaianensis (Andiroba) Seed Oil, Bulnesia Sarmientoi (Palo Santo) Wood Oil, Caprylic/Capric Triglyceride, Triolein, C10-18 Triglycerides, Arnica Montana (Arnica) Flower, Pogostemon Cablin (Patchouli) Leaf Extract, Vanilla Planifolia (Vanilla) Bean Extract, Plankton Extract, Tocopherol, Tocopheryl Acetate, Glyceryl Dioleate, Farnesol.

.

The list of ingredients is subject to change, please consult the packaging of the product purchased.","Suggested Usage:
-Apply to clean, damp skin in the AM and/or PM.
-Scan the pack’s QR code to unlock FaceGym’s Transformative Face Sculpting Application Method.

For best results:
-Use after Electro-Lite Energizing + Brightening Face Cleanser (sold separately).
-Follow with Hydro-Bound Hyaluronic Acid + Niacinamide Serum (sold separately).
-Finish with your choice of either Supreme Restructure Firming EGF Collagen Boosting Moisturizer or Liftwear Brightening Vitamin C Gel-Cream (each sold separately).
-Add FaceGym's Multi-Sculpt High-Performance Contouring Tool (sold separately) to your routine. This high-performance tool is designed to visibly lift, define, de-puff, drain, plump, and more."
P392142,Tata Harper,Nourishing Makeup Removing Oil Cleanser with Squalene and Vitamin E,Cleansers,Face Wash & Cleansers,$88.00,Size: 4.1 oz/ 125 mL,https://www.sephora.com/productimages/sku/s1672120-main-zoom.jpg?pb=clean-at-sephora&imwidth=160,268,"Item 1672120
What it is: A lightweight multi-vitamin cleansing oil that melts makeup and dissolves buildup with natural oils and esters.

Skin Type: Normal, Dry, Combination, and Oily

Skincare Concerns: Dullness/Uneven Texture and Dryness

Formulation: Oil

Highlighted Ingredients:
- Alfalfa: Nourishes skin with biotin and vitamin E.
- Vitamin A in Sacha Inchi Oil: Fights and neutralizes free radicals.
- Squalane: Helps maintain skin’s hydration.

Ingredient Callouts: This product is vegan and cruelty-free.

What Else You Need to Know: Tata Harper is a real skincare company. They do it all themselves with their own chemists at their own farm. No synthetics. No outsourcing. No shortcuts. 100 percent natural. No toxins, fillers, artificials, synthetics, GMOs. Smells like green beauty. This formula smells like the roots, stems, and absolute essence of every single natural ingredient in their green bottle.

Tata Harper Skincare is partnering with Trees for the Future for two years to plant 100,000 trees, revitalize 100 acres, sequester 3,616 tons of carbon, and plant 1,000 people out of poverty.



Clean at Sephora is our commitment to offering effective products without certain ingredients, such as parabens, sulfates, phthalates, and mineral oils. Learn more here.
Show less","-Alfalfa: Nourishes skin with biotin and vitamin E.
-Vitamin A in Sacha Inchi Oil: Fights and neutralizes free radicals.
-Squalane: Helps maintain skin’s hydration.

Helianthus Annuus (Sunflower) Seed Oil*, Olea Europaea (Olive) Oil*, Camellia Sinensis (Green Tea) Seed Oil*, Caprylic/Capric Triglyceride, Polyglyceryl-2 Sesquioleate, Shea Butter Ethyl Esters, Polyglyceryl-2 Caprate, Simmondsia Chinensis (Jojoba) Seed Oil*, Isopropyl Shea Butterate, Camellia Oleifera Seed Oil*, Ricinus Communis (Castor) Seed Oil, Aroma**, Sambucus Nigra Fruit Extract, Tocopherol, Squalane, Plukenetia Volubilis Seed Oil*, Arnica Montana (Arnica) Extract*, Borago Officinalis (Borage) Leaf Extract*, Calendula Officinalis (Calendula) Flower Extract*, Medicago Sativa (Alfalfa) Extract*, Spiraea Ulmaria (Meadowsweet) Extract*, Silybum Marianum (Milk Thistle) Ethyl Ester, Persea Gratissima (Avocado) Oil*, Prunus Armeniaca (Apricot) Kernel Oil*, Vitis Vinifera (Grape) Seed Oil*, Limonene, Citronellol, Geraniol, Linalool. *Ingredients from organic farming. **Clinical grade essential oils blend.





The list of ingredients is subject to change, please consult the packaging of the product purchased.","Apply onto dry skin. Massage 2 to 3 pumps onto face and neck, then rinse with warm water. Follow with essence. Use AM & PM.

Our bottles are made from glass. Just twist off the pump, rinse out the bottle, and toss it in your recycling bin.
Our pumps are made from mixed materials. Unfortunately, the pumps are not recyclable due to their size and composition.
Our cartons are made from Forest Stewardship Council certified paperboard. Just breakdown the box and toss it in your recycling bin.
Our leaflets are made from paper. Just toss it in your recycling bin."
P456211,goop,GOOPGLOW Morning Skin Superpowder,Wellness,Beauty Supplements,$60.00,Size: 30 pack,https://www.sephora.com/productimages/sku/s2319069-main-zoom.jpg?pb=clean-at-sephora&imwidth=160,1.1K,"Item 2319069
Beauty Benefit: Supports Healthy, Glowing Skin*, Fights Free Radicals*, and Helps Build Collagen*

What it is: A daily drink for glowing skin, made with six skin-supporting antioxidants: vitamins C and E, CoQ10, grape-seed extracts, lutein, and zeaxanthin.

What it tastes like: Reminiscent of your favorite childhood beverage, it tastes like a burst of fresh citrus.

How to use: Take one three-gram sachet in eight ounces of water daily.

Dosage: One three-gram sachet

When to expect results: Eight to 12 weeks

What Else You Need to Know: A power shot of antioxidants designed to reduce the free radical effects of the sun, pollution, stress, and more, it helps protect against oxidative photodamage, which can lead to signs of premature aging like dullness, uneven tone, fine lines, and loss of firmness.*

*These statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease.

Clean at Sephora is our commitment to offering effective products without certain ingredients, such as parabens, sulfates, phthalates, and mineral oils. Learn more here.
Show less","-Vitamin C: Supports collagen synthesis and healthy skin.*
-CoQ10: Helps support cellular energy production and defends cells from damage caused by harmful free radicals.*
-Vitamin E: Helps to protect skin from damaging effects by acting as free radical scavenger.

Vitamin C, Vitamin E, Grape (Vitis Vinifera) Seed Extract, Coq10, Lutein, Zeaxanthin, Isomalto-Oligosaccharides, Natural Flavors, Citric Acid, Rebaudioside A, Silica.

The list of ingredients is subject to change, please consult the packaging of the product purchased.","Suggested Usage:
-GOOPGLOW is conveniently packaged in single-dose stick packs.
-Mix with eight ounces of water.
-Drink as part of your daily healthy morning ritual.
-The single-dose packets fit easily in a gym bag and travel effortlessly, so you can get the goop glow just about anywhere."
P509427,ILIA,Mini The Base Face Milk Essence & Lightweight Moisturizer with Hyaluronic Acid,Mini Size,,$28.00,Size: 1 fl oz / 30 ml,https://www.sephora.com/productimages/sku/s2739829-main-zoom.jpg?pb=allure-2024-bestofbeauty&imwidth=160,1K,"Item 2739829
What it is: An essence-moisturizer hybrid that’s clinically proven to hydrate, reduce visible redness, smooth texture, and strengthen the skin barrier.

Skin Type: Normal, Dry, Combination, and Oily

Skincare Concerns: Dryness, Redness

Formulation: Lightweight Liquid

Highlighted Ingredients:
- Hyaluronic Acid: Four molecule sizes draw moisture deep into skin for long-lasting hydration.
- Barrier Renewal Complex: Lipids, fatty acids, and sterols replenish skin’s protective barrier.
- Microalgae and Prickly Pear Flower: Plant-based powerhouses nourish, smooth, and support skin health.

Ingredient Callouts: Free of parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, sulfates SLS & SLES, triclocarban, triclosan, and contains less than one percent synthetic fragrance. It is also gluten-free and cruelty-free.

What Else You Need to Know: Let your skin drink it in. Powered by hyaluronic acid and a Barrier Renewal Complex, this vegan face milk delivers a soothing boost of moisture. Lightweight and layerable, the versatile formula flexes to fit your needs—use it as your moisturizer to lock in hydration, or under a cream when skin feels dry. It’s the perfect prep step before Super Serum Skin Tint SPF 40 or True Skin Serum Foundation (sold separately).

Clinical Results: In a 14-day clinical study of 50 people:
- Clinically proven to lock in moisture and strengthen the skin barrier

In a 12-hour instrumental study of 22 people:
- 100% said skin looked healthier and hydrated
- 100% said it reduced redness
- 94% said skin was calmed and smoother

Clean at Sephora is our commitment to offering effective products without certain ingredients, such as parabens, sulfates, phthalates, and mineral oils. Learn more here.
Show less","-Hyaluronic Acid: Four molecule sizes draw moisture deep into skin for long-lasting hydration.
-Barrier Renewal Complex: Lipids, fatty acids, and sterols replenish skin’s protective barrier.
-Microalgae and Prickly Pear Flower: Plant-based powerhouses nourish, smooth, and support skin health.

Aqua/Water/Eau, Propanediol, Caprylic/Capric Glycerides, Squalane, Butylene Glycol, Glycerin, Argania Spinosa Kernel Oil, 1,2-Hexanediol, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Hydroxyacetophenone, Isohexadecane, Allantoin, Linoleic Acid, Phospholipids, Phytosterols, Caprylyl Glycol, Polyglyceryl-10 Stearate, Hydrolyzed Opuntia Ficus-Indica Flower Extract, Polysorbate 60, Sorbitan Isostearate, Hyaluronic Acid, Hydrolyzed Hyaluronic Acid, Sodium Hyaluronate, Chlorella Vulgaris Extract, Lactic Acid.

The list of ingredients is subject to change, please consult the packaging of the product purchased.","Suggested Usage:
-Morning and night, give the bottle two to three shakes into your palms.
-Rub palms together and gently press into skin.
-For oily skin, use it like a lightweight moisturizer at the end of your skincare routine.
-For dry skin, layer it underneath your moisturizer for an extra boost of hydration.
-For sensitive skin, apply it before your actives for extra skin barrier support."
P407450,St. Tropez,Self Tan Classic Bronzing Mousse,Self Tanners,For Body,$34.00,Size: 4 oz/ 118 mL,https://www.sephora.com/productimages/sku/s1809516-main-zoom.jpg?imwidth=160,543,"Item 1809516
What it is:
A lightweight, easy-to-apply classic mousse that dries quickly with no self tan smell and an even fade.

What it is formulated to do:
For an iconic, natural, and healthy-looking tan, this newly formulated, lightweight classic mousse tailors to your individual skin tone, for that longest-lasting tan in one application. It’s streak-free, easy to apply, quick-drying, non-sticky with no transfer, and ultra-hydrating. Plus, it has no self tan smell, yet features a new mood-boosting fragrance.

What it is formulated WITHOUT:
- Parabens
- Sulfates
- Phthalates

What else you need to know:
This product contains a 100 percent natural DHA and is clinically proven to moisturize for up to 24 hours.
Show less","-100 Percent Natural DHA: Tanning agent.

Water, Dihydroxyacetone, PPG-5-Ceteth-20, Propylene Glycol, Glycerin, Ethoxydiglycol, Coco-Glucoside, Caramel, Phenoxyethanol, Parfum, Sodium Metabisulfite, Hydrolyzed Jojoba Esters, Hydroxyethylcellulose, Tocopherol, Decylene Glycol, Caprylyl Glycol, d-limonene, Anisyl Alcohol, Sodium Hydroxide, Linalool, Hexyl Cinnamal, Benzyl Salicylate, Butylphenyl Methylpropional, Citronellol, Hydroxycitronellal, Alpha-isomethyl Ionone, Coumarin, CI 14700 (Red 4), CI 19140 (Yellow 5), CI 42090 (Blue 1).","Suggested Usage:
-Exfoliate 24 hours prior to use. Immediately prior to application, moisturize any dry areas including elbows, knees, ankles, and feet.
-For best results, apply using the Tan Applicator Mitt in long sweeping motions, starting at the ankles and working your way up. For your back, turn the mitt back to front and start applying in the same way. Ensure all areas are covered before lightly gliding any excess tan from the mitt over your hands and feet.
-Wait until touch dry before getting dressed.
-Allow four to eight hours before showering to reveal your developed tan.
-To prolong and maintain your tan, moisturize daily, exfoliate regularly, and reapply as desired.

Precautions:
-Carry out a patch test 24 hours before use.
-External use only.
-Don’t apply to broken or irritated skin.
-Stop if irritation occurs.
-Self tan may stain.
-Avoid contact with eyes or lips and rinse if contact occurs.
-Sun safety warning: this product does not contain a sunscreen and does not protect against sunburn."
P474823,Dr. Dennis Gross Skincare,Advanced Retinol + Ferulic Perfectly Dosed Retinol Universal 0.2%,Treatments,Facial Peels,$42.00,Size: 8 Treatments / Pack,https://www.sephora.com/productimages/sku/s2734572-main-zoom.jpg?imwidth=160,60,"Item 2734572
What it is: A targeted, overnight peel treatment to reduce fine lines, improve uneven tone and texture, and restore hydration for a radiant, healthy-looking complexion.

Skin Type: Normal, Dry, Combination, and Oily

Skincare Concerns: Dark Spots, Fine Lines and Wrinkles, and Uneven Texture

Highlighted Ingredients:
- Retinol: A vitamin A derivative that supports collagen production while visibly reversing signs of photo-aging, improving fine lines and wrinkles, addressing UV-induced free-radical damage, reducing blemish-causing sebum, and fading dark spots.
- Bakuchiol: An active derived from the babchi plant that demonstrates the same level of efficacy as retinol without redness or irritation and by supporting collagen production and visibly diminishing fine lines, wrinkles, and photo damage.
- Rambutan: A gentle botanical active that targets fine lines and wrinkles while visibly improving skin elasticity.

Ingredient Callouts: This product is vegan, gluten-free, cruelty-free, and comes in recyclable packaging.

What Else You Need to Know: Designed for overnight use 2-3 times a week, this perfectly pre-dosed peel targets persistent breakouts, oiliness, fine lines and wrinkles for dramatically smoother, more youthful skin. Formulated with our Phyto-Retinol Blend™—a hydrating cocktail of retinol and soothing botanicals like bakuchiol, rambutan, and ferulic acid— to provide enhanced results without irritation. Use in conjunction with daily Alpha Beta® Daily Peel Pads to further enhance results. 

Clinical Results: In a 4-week clinical study conducted on 60 subjects with Fitzpatrick skin types I–VI:
- 97% saw a quick boost in radiance
- 93% saw a rapid reduction in dry fine lines

Show less","-Pure Liquid Retinol: Smooths the look of lines and wrinkles.
-Bakuchiol and Rambutan: Reinforce the visibly age-defying and firming benefits of retinol.
-Squalane and Hyaluronic Acid: Soothe, hydrate, and lock in moisture.

Water/Aqua/Eau, Pentylene Glycol, Hamamelis Virginiana (Witch Hazel) Water, Hydroxyethyl Urea, Ethoxydiglycol, Caprylic/Capric Triglyceride, Alcohol Denat. (SD Alcohol 40-B), Retinol (0.2%), Bakuchiol, Nephelium Lappaceum Leaf Extract, Centella Asiatica Extract, Bisabolol, Ferulic Acid, Sodium Hyaluronate, Squalane, Linoleic Acid, Linolenic Acid, Soy Isoflavones, Camellia Sinensis Leaf Extract, Aloe Barbadensis Leaf Juice, Cucumis Sativus (Cucumber) Fruit Extract, Sodium PCA, Lactic Acid, Rehmannia Glutinosa Root Extract, Phospholipids, Sphingolipids, Farnesol, Anthemis Nobilis Flower Extract, Mandelic Acid, Glycerin, Butylene Glycol, Maltodextrin, Sodium Olivate, Sodium Hydroxide, Polysorbate 20, Citric Acid, Sodium Phytate, Citrus Limon (Lemon) Peel Extract, Citrus Aurantium Bergamia (Bergamot) Fruit Extract, Lavandula Angustifolia (Lavender) Flower/Leaf/Stem Extract, Phenoxyethanol, Sodium Benzoate, Potassium Sorbate.","Suggested Use:
-For PM use, two to three times a week.
-Massage peel pad into clean, dry skin—and remember your neck and décolleté.
-For optimal results, follow with your Dr. Dennis Gross Skincare® serum and moisturizer.

Pro tip:
-For a complete complexion overhaul, use the Alpha Beta® Daily Peel [AM] and Retinol + Ferulic Texture Renewal Peel [PM] on the same day (both sold separately)."
P479971,Lancôme,Rénergie H.C.F. Triple Serum: For Plumping & Anti-Aging,Treatments,Face Serums,$150.00,Size: 1.7 oz/ 50 mL,https://www.sephora.com/productimages/sku/s2533123-main-zoom.jpg?imwidth=160,1.4K,"Item 2533123
What it is: A triple-dose face serum that targets visible volume loss, wrinkles, and acts as a dark spot corrector to improve the look of skincare concerns associated with aging.

Skin Type: Normal, Dry, Combination, and Oily

Skincare Concerns: Dark Spots, Fine Lines and Wrinkles, and Loss of Firmness and Elasticity

Formulation: Lightweight Serum

Highlighted Ingredients:
- Hyaluronic Acid: Designed with fragmented molecules to enhance absorption into skin and improve moisture retention, which can visibly plump and smooth skin.
- C+Niacinamide: Unique combination of a potent, fast-working form of vitamin C and niacinamide which are known for their ability to visibly reduce dark spots, brighten the skin’s appearance, and smooth the look of fine lines and wrinkles.
- Ferulic Acid: A powerful antioxidant known to provide skin-protecting properties, neutralize harmful free-radical damage, and protect against oxidative stress that can accelerate skin aging.

Ingredient Callouts: Free of mineral oil and sulfates SLS & SLES.

What Else You Need to Know: Each ingredient in the serum, represented by the name H.C.F.—hyaluronic acid, vitamin Cc and niacinamide, and ferulic acid—is housed in separate chambers. With each pump of the product, the ingredients are freshly mixed, maintaining higher potency levels tofor visiblye correction of signs of aging.

Clinical Results: In an eight8-week clinical study of 45 women, results included:
- 14.7% increase in visible skin suppleness
- 30.1% increase in visible skin smoothness
- 13.8% reduction in visible fine lines

In a 12-week clinical study of 50 women, results included:
- 12% increase in visible skin firmness and reduction in sagginess

In an eight8-week consumer study with 58 women:
- 95% agree skin looks re-plumped 
- 91% agree overall skin appearance looks improved
- 90% agree skin feels tightened

This product is an Allure Best of Beauty award winner.
Show less","-Hyaluronic Acid: Designed with fragmented molecules to enhance absorption into skin and improve moisture retention, which can visibly plump and smooth skin.
-C+Niacinamide: Unique combination of a potent, fast-working form of vitamin C and niacinamide which are known for their ability to visibly reduce dark spots, brighten the skin’s appearance, and smooth the look of fine lines and wrinkles.
-Ferulic Acid: A powerful antioxidant known to provide skin-protecting properties, neutralize harmful free-radical damage, and protect against oxidative stress that can accelerate skin aging.

Aqua/Water /Eau, Dipropylene Glycol, Glycerin, Butylene Glycol, Propylene Glycol, Alcohol, Niacinamide, Isopropyl Lauroyl Sarcosinate, Pentylene Glycol, Ci 77891/Titanium Dioxide, Guanosine, Mica, Tocopheryl Acetate, Hydrolyzed LinseedExtract, Sodium Acetylated Hyaluronate, Sodium Benzoate, Phenoxyethanol, Phenylethyl Resorcinol, Stearic Acid, Adenosine, Caffeine, Peg-100 Stearate, PolyacrylateCrosspolymer-6, Silica Silylate, Palmitic Acid, Polysorbate20, Polysorbate 80, Ammonium Polyacryloyldimethyl Taurate, Limonene, Xanthan Gum, Tin Oxide, Benzyl Alcohol, Isohexadecane, 3-O-Ethyl Ascorbic Acid, Caprylyl
Glycol, Capryloyl Salicylic Acid, Boron Nitride, Ferulic Acid, Acrylamide/Sodium AcryloyldimethyltaurateCopolymer, Sorbitan Oleate, Myristic Acid, Geraniol, Octocrylene, Butyl Methoxydibenzoylmethane, Potassium Cetyl Phosphate, Octyldodecanol, Cetyl Alcohol, Octyldodecyl Xyloside, Citric Acid, Citronellol, Glyceryl Stearate, Parfum/Fragrance, (F.I.L. B260371/2).","Suggested Usage:
-Use daily as part of your morning and evening skincare routines.

-Step one: Holding the product horizontally over the palm of your hand or fingertips, press down on the pump until the three formulas appear. For one application, dispense two pumps into the hand.
-Step two: Mix in your hand until the three formulas are blended into a single serum texture.
-Step three: Apply serum on a clean face and neck using outward and upwards motions for a visibly lifted effect.
-Step four: Follow with your usual moisturizer and eye cream."
