
P515534,Hello Sunday,The Bestseller Daily SPF Duo with Broad Spectrum SPF 50,Value & Gift Sets,,$27.00,,,,,,
P512548,LANEIGE,Hydro UV Defense Sunscreen Broad Spectrum  SPF 50+,Sunscreen,Face Sunscreen,$30.00,Size: 1.67 oz / 50 ml,https://www.sephora.com/productimages/sku/s2743276-main-zoom.jpg?imwidth=160,211,"Item 2743276
ONLY AT SEPHORA
What it is: A broad spectrum SPF 50+ moisture-based Korean sunscreen that provides UVA and UVB protection and delivers soothing hydration with no white cast.

Skin Type: Normal, Dry, Combination, and Oily

Skincare Concerns: Dark Spots, Fine Lines and Wrinkles, and Dryness

Formulation: Cream

Highlighted Ingredients:
- Broad Spectrum SPF 50+: Protects skin from both UVA and UBV rays.
- Centella Asiatica: Soothes.
- Glycerin and Hydro-Ionized Mineral Water: Hydrate.

Ingredient Callouts: Free of parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, sulfates SLS & SLES, triclocarban, triclosan, and contains less than one percent synthetic fragrance. It is also gluten-free.

What Else You Need to Know: Your daily must-have for effective UVA and UVB protection and soothing hydration! Straight from Seoul, this sunscreen helps protect skin from harmful UVA rays that cause early visible signs of aging, as well as from UVB rays that damage the skin and lead to sunburn. The formula is dermatologist-tested, hypoallergenic, and leaves no white cast.

Clinical Results: In a 1-day independent consumer study on 35 women ages 25 to 45, immediately after use:
- 100% saw no white cast
- 100% agree product feels lightweight and doesn’t look greasy
- 97% agree product does not feel sticky and absorbed quickly
Show less","-Broad Spectrum SPF 50+: Protects skin from both UVA and UBV rays.
-Centella Asiatica: Soothes.
-Glycerin and Hydro-Ionized Mineral Water: Hydrate.

Avobenzone 2.5%, Homosalate 7%, Octisalate 4.5%, Octocrylene 9%, Water/Aqua/Eau, Propanediol, Butyloctyl Salicylate, Glycerin, Diphenylsiloxy Phenyl Trimethicone, Silica, Phenyl Trimethicone, Caprylyl Methicone, Behenyl Alcohol, Vp/Eicosene Copolymer, Trimethylsiloxysilicate, C14-22 Alcohols, Glyceryl Stearate, Peg-100 Stearate, 1,2-Hexanediol, Cetyl Alcohol, Potassium Cetyl Phosphate, Polyacrylate-13, Polyisobutene, C12-20 Alkyl Glucoside, Ethylhexylglycerin, Fragrance / Parfum, Disodium Edta, Polysorbate 20, Sorbitan Isostearate, Lavandula Angustifolia (Lavender) Flower Water, Butylene Glycol, Aloe Barbadensis Leaf Extract, Pentylene Glycol, Centella Asiatica Flower/Leaf/Stem Extract, Brassica Oleracea Italica (Broccoli) Extract, Hibiscus Abelmoschus Extract, Tocopherol, Magnesium Sulfate, Calcium Chloride, Xanthan Gum, Citric Acid, Sodium Benzoate, Potassium Sorbate, Manganese Sulfate, Chenopodium Quinoa Seed Extract, Zinc Sulfate, Ascorbyl Glucoside.","Suggested Usage:
-Smooth an even layer onto your face in the morning and before sun exposure, after cleansing, toning, and applying serum and moisturizer.
-Reapply every two hours for appropriate protection."
P516444,CLINIQUE,Glow from AM to PM Hydrating Moisturizer & Lip Gift Set,Value & Gift Sets,,$63.00,,,,,,
P474116,StriVectin,Peptight ™ 360˚ Tightening Eye Serum,Eye Care,Eye Creams & Treatments,$72.00,Size: 1 oz / 30 mL,https://www.sephora.com/productimages/sku/s2467926-main-zoom.jpg?imwidth=160,54,"Item 2467926
What it is: A peptide-powered eye serum for visibly tighter, brighter-looking skin around the entire eye area including under eyes, eyelids, and crow’s feet.

Skin Type: Normal, Dry, Combination, and Oily

Skincare Concerns: Loss of Firmness and Elasticity, Dark Circles, Puffiness

Highlighted Ingredients:
- Triple Peptide Blend (Oligopeptide, Dipeptide, Tetrapeptide): Visibly tightens, firms, and improves the eye contour—even sagging of upper eyes.
- Caffeine and Kakudu Plum Extract: Visibly improves skin tone while brightening the look of the eye area and dark circles.
- Microalgae and Marine Ferment: Leaves skin feeling firmer and targets crepey eyelids.

Ingredient Callouts: Free of parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, sulfates SLS & SLES, triclocarban, triclosan, and contains less than one percent synthetic fragrance. It is also vegan.

What Else You Need to Know: Formulated to target loss of contour and crepey skin—even sagging of the upper eyelids—this light, layerable serum absorbs quickly for a more youthful appearance. The cooling applicator gently massages and visibly depuffs, reinvigorating delicate skin around eyes. Peptight™ 360˚ Tightening Eye Serum is ophthalmologist tested and fragrance-free.

Clinical Results: In an 8-week expert clinical grading evaluation on 34 participants:
- 100% showed improvement in the look of firmness and tightness
- 96% showed improvement in the look of fine lines and wrinkles around the eyes
- 93% showed improvement in the look of undereye bags and puffiness
Show less","-Triple Peptide Blend (Oligopeptide, Dipeptide, Tetrapeptide): Visibly tightens, firms, and improves the eye contour—even sagging of upper eyes.
-Caffeine and Kakudu Plum Extract: Visibly improves skin tone while brightening the look of the eye area and dark circles.
-Microalgae and Marine Ferment: Leaves skin feeling firmer and targets crepey eyelids.

Aqua(Water,Eau), Propanediol, Glycerin, Myristyl Nicotinate, Dimethicone, Pullulan, Maris Aqua (Sea Water, Eau de mer), C12-15 Alkyl Benzoate, Dextrin, Palmitoyl Tetrapeptide-7, Nicotiana Benthamiana Octapeptide-30 sh-Oligopeptide-2, Dipeptide-2, Caffeine, Terminalia Ferdinandiana Fruit Extract, Hydrolyzed Rhodophyceae Extract, Nannochloropsis Oculata Extract, Perilla Ocymoides Leaf Extract, 1,2-Hexanediol, Phospholipids, Sodium Acrylates Copolymer, Bacillus Ferment, Silica, Polymethyl Methacrylate, Polyglyceryl-10 Stearate, Hydrogenated Polydecene, Steareth-20, Adenosine, Aloe Barbadensis Leaf Juice, Helianthus Annuus (Sunflower) Seed Oil, Tetrasodium Glutamate Diacetate, Hesperidin Methyl Chalcone, Butylene Glycol, Caprylhydroxamic Acid, Chlorhexidine Digluconate, Glyceryl Caprylate, Tocopherol, Ethylhexylglycerin, Xanthan Gum, Mica, Citric Acid, Phenoxyethanol, Sodium Citrate, Benzoic Acid, Sodium Benzoate, Potassium Sorbate, Sodium Hydroxide, CI 77891 (Titanium Dioxide).","Suggested Usage:
-Use morning and evening on clean skin.
-Gently glide cooling metal applicator around entire eye area, including upper eyelids.
-Lightly pat excess with fingertip until absorbed."
P502964,Drunk Elephant,Mini A-Gloei Marula + Retinol Oil,Skincare,,$42.00,Size: 0.5 oz / 15 mL,https://www.sephora.com/productimages/sku/s2599157-main-zoom.jpg?pb=clean-at-sephora&imwidth=160,9,"Item 2599157
What it is: A retinol face oil that minimizes the look of lines, hyperpigmentation, blemishes, and sun damage, locking in moisture and restoring a healthy glow.

Skin Type: Normal, Dry, Combination, and Oily

Skincare Concerns: Dullness and Uneven Texture, Acne and Blemishes, and Fine Lines and Wrinkles

Formulation: Oil

Highlighted Ingredients:
- 0.5% Retinol: Improves the look and feel of uneven skin tone and texture while warding off UV and free radical damage.
- 95% Virgin Marula Oil: High in critical antioxidants and omegas 6 and 9 and helps moisturize, nourish, and rejuvenate skin for a youthful glow.
- Ceramides: Help to fill in the spaces between skin cells (giving them elasticity), strengthen the skin barrier, and maintain the moisture balance of skin.

Ingredient Callouts: This product is vegan, cruelty-free, and comes in recyclable packaging.

What Else You Need to Know: Designed for both new and experienced retinol users, A-Gloei™ was created with all skin in mind. Retinol gets a bad rap for being sensitizing, but A- Gloei™ is formulated with soothing marula oil and ceramides to gently deliver retinol to skin, ensuring high efficacy without redness or irritation.

Drunk Elephant is committed to using only ingredients that either directly benefit the health of the skin or support the integrity of their formulations. The brand focuses on healthy pH levels, formulations the skin recognizes, small molecular structure that’s easily absorbed, and effective active ingredients that also support the skin’s acid mantle. All of their products are designed to be mixed together—what Drunk Elephant calls making a smoothie. (This is true for all of their products except their sunscreen, Umbra, which sits on top of the skin, protecting it from UV damage.) The result is skin that is reset to its happiest, healthiest state.
Drunk Elephant is a supporter of IEF (International Elephant Foundation) and is cruelty-free.

Free of essential oils, silicones, fragrance, irritants, and PEGs.



Clean at Sephora is our commitment to offering effective products without certain ingredients, such as parabens, sulfates, phthalates, and mineral oils. Learn more here.
Show less","-0.5% Retinol: Improves the look and feel of uneven skin tone and texture while warding off UV and free radical damage.
-Virgin Marula Oil: High in critical antioxidants and omegas 6 and 9 toand moisturizes, nourishes, and rejuvenate s skin for a youthful glow.
-Ceramides: Help to fill in the spaces between skin cells (giving them visible elasticity), support the skin barrier, and maintain the moisture balance of skin.

Sclerocarya Birrea Seed Oil, Glycine Soja (Soybean) Oil, Retinol, Tocopherol, Ceramide AP, Ceramide NP..

The list of ingredients is subject to change, please consult the packaging of the product purchased.",
P509278,Youth To The People,Superfood + Niacinamide Body Cleanser with Antioxidants & Hyaluronic Acid,Bath & Shower,Body Wash & Shower Gel,$39.00,Size: 16.4 oz,https://www.sephora.com/productimages/sku/s2682508-main-zoom.jpg?pb=clean-at-sephora&imwidth=160,518,"Item 2682508
What it is: A nourishing body wash, formulated with niacinamide and antioxidants, that purifies and visibly balances without a stripping effect, leaving skin soft, smooth, and hydrated.

Fragrance Family: Earthy & Woody

Scent Type: Earthy Greens & Herbs

Key Notes: Fresh Greens, Black Pepper, Cedarwood

Fragrance Description: This aromatic blend uplifts one’s senses and self.

Highlighted Ingredients:
- Niacinamide: Boosts hydration, supports barrier strength, and visibly evens skin tone.
- Kale and Green Tea Extracts: Are antioxidant-rich powerhouses that prevent visible signs of aging and leave skin glowing.
- Plant-Based, Gentle Amino and Fatty Acid Surfactants: Gently cleanse away buildup with a fresh, rich lather.

What Else You Need to Know: This luxurious foaming gel visibly purifies and balances the skin while maintaining its moisture barrier and delivering nourishing vitamins and antioxidants. The signature scent, Elevated Self, uplifts the mind and body with notes of fresh greens, cedarwood, and black pepper.

Clinical Results: In a consumer study with 52 people, using bio-instrumental measurements, results showed:
- Skin's moisture-barrier function was maintained

After 4 weeks:
- 94% agreed skin felt soft and soothed
- 92% agreed skin looked smooth and clear

Clean at Sephora is our commitment to offering effective products without certain ingredients, such as parabens, sulfates, phthalates, and mineral oils. Learn more here.
Show less","-Niacinamide: Boosts hydration, supports barrier strength, and visibly evens skin tone.
-Kale and Green Tea Extracts: Are antioxidant-rich powerhouses that prevent visible signs of aging and leave skin looking glowing.
-Plant-Based, Gentle Amino and Fatty Acid Surfactants: Gently cleanse away buildup with a fresh, rich lather.

Aqua/Water/Eau, Cocamidopropyl Hydroxysultaine, Sodium Cocoyl Isethionate, Sodium Lauroyl Sarcosinate, Glycerin, Sodium Chloride, Betaine, Niacinamide, Brassica Oleracea Acephala Leaf Extract, Camellia Sinensis Leaf Extract, Chamomilla Recutita Flower Extract/Matricaria Flower Extract, Medicago Sativa Extract/Alfalfa Extract, Spinacia Oleracea/Spinach Leaf Extract, Ascorbyl Glucoside, Hydroxyacetophenone, Sodium Hydroxide, Trisodium Ethylenediamine Disuccinate, Citric Acid, Panthenol, Caprylyl Glycol, Coconut Acid, Polyglyceryl-4 Caprate, Quillaja Saponaria Wood Extract, Sodium Isethionate, Hexyl Cinnamal, Limonene, Linalool, Phenoxyethanol, Sodium Benzoate, Parfum/Fragrance.

The list of ingredients is subject to change, please consult the packaging of the product purchased.","Suggested Usage:
-Apply to wet skin, work into a rich lather, and then rinse.
-Use at least once a day.
-Avoid contact with eyes and lips. In case of contact, rinse immediately and thoroughly.

Recycling Instructions:
-Remove cap and place in the proper container. Check your local recycling authority's guidelines to make sure you use the correct one.
-Wash the recycled plastic bottle thoroughly in hot, soapy water.
-Rinse, then let dry. If you skip this step, containers may contaminate other materials (like paper) in a mixed-waste stream.
-Place in your recycling bin."
P433974,Naturally Serious,Supercharge Anti-Oxidant Moisture Serum,Treatments,Face Serums,$39.00,Size: 1 oz/ 30 mL,https://www.sephora.com/productimages/sku/s2122281-main-zoom.jpg?pb=clean-at-sephora&imwidth=160,192,"Item 2122281
ONLY AT SEPHORA
What it is: A milky serum that visibly neutralizes uneven tone, boosts moisture, and revives dull, dehydrated skin.

Skin Type: Normal, Dry, Combination, and Oily

Skincare Concerns: Dryness, Dullness, and Uneven Texture

Formulation: Lightweight Serum

Highlighted Ingredients:
- Vitamin E: Nourishes skin and provides antioxidant benefits.
- White Birch: Neutralizes the look of uneven skin tone.
- Caffeine and Shea Butter: Visibly revive dull, dehydrated complexions.

Ingredient Callouts: This product is vegan, cruelty-free, and comes in recyclable packaging.

What Else You Need to Know: This powerful serum protects the look of healthy skin with hyaluronic acid, ceramide, shea butter, and potent antioxidants. It also neutralizes the appearance of uneven tone with white birch while visibly reviving dull, dehydrated skin with caffeine and apple extract.

Clinical Results: In a 2-week consumer-perception study on 30 women (ages 36 to 65):
- 93% agreed skin felt smoother
- 80% agreed skin looked better
- 80% agreed skin tone visibly improved



Clean at Sephora is our commitment to offering effective products without certain ingredients, such as parabens, sulfates, phthalates, and mineral oils. Learn more here.
Show less","-Vitamin E: Nourishes skin and provides antioxidant benefits.
-White Birch: Neutralizes the look of uneven skin tone.
-Caffeine and Shea Butter: Visibly revive dull, dehydrated complexions.

Water/Aqua/Eau, Caprylic/Capric Triglyceride, Propanediol, Cetyl Alcohol, Glycerin, Stearyl Alcohol, Butyrospermum Parkii (Shea) Butter, Glyceryl Stearate, Pyrus Malus (Apple) Fruit Extract, C9-12 Alkane, Pentylene Glycol, Maltodextrin, Sodium Phytate, Linoleic Acid, Xanthan Gum, Lactobacillus, Lecithin, Distarch Phosphate, Ceramide NP, Phenethyl Alcohol, Tocopheryl Acetate, Aspalathus Linearis Leaf Extract, Lycium Barbarum Fruit Extract, Punica Granatum Extract, Vitis Vinifera (Grape) Seed Extract, Camellia Sinensis Leaf Extract, Phytosteryl Canola Glycerides, Allantoin, Coco-Caprylate/Caprate, Betula Alba Bark Extract, Caffeine, Cocos Nucifera (Coconut) Fruit Extract, Oleic Acid, Palmitic Acid, Coleus Barbatus Root Extract, Leuconostoc/Radish Root Ferment Filtrate, Stearic Acid, Tocopherol, Triolein, Sodium Hyaluronate, Colloidal Oatmeal, Pinus Cembra Wood Extract, Leontopodium Alpinum Extract, Peucedanum Ostruthium Leaf Extract, Limonene, Linalool, Citral, Citronellol, Geraniol, and Fragrance/Parfum*.

*100% Natural Fragrance.

.

The list of ingredients is subject to change, please consult the packaging of the product purchased.","Suggested Usage:
-Apply AM and PM to a clean, dry face and neck.
-For external use only."
P461160,Estée Lauder,Mini Advanced Night Repair Multi-Recovery Complex Serum with Hyaluronic Acid,Mini Size,,$20.00,Size: 0.24 oz/ 7 mL,https://www.sephora.com/productimages/sku/s2379691-main-zoom.jpg?imwidth=160,2.6K,"Item 2379691
What it is: A super serum that features Estée Lauder’s Night Peptide to visibly reduce multiple signs of aging for a smoother, younger, more radiant look.

Skin Type: Normal, Dry, and Combination

Skincare Concerns: Fine Lines and Wrinkles, Dryness, and Loss of Firmness and Elasticity

Formulation: Lightweight Serum

Highlighted Ingredients:
- Exclusive Night Peptides: Supports skin’s visible renewal.
- Hyaluronic Acid: Locks in moisture.
- Antioxidant Power: Defends skin against free radical damage.

Ingredient Callouts: Free of phthalates, mineral oil, sulfates SLS & SLES, and contains less than one percent synthetic fragrance. It also comes in recyclable packaging.

What Else You Need to Know: Advanced Night Repair serum works night and day to optimize skin’s natural rhythm of renewal and protection. At night, it visibly firms skin. In the day, its antioxidant protection defends skin against visible effects of free radical damage for up to eight hours.

Clinical Results: In consumer testing on 543 women after using product for 3 weeks:
- 91% said skin looks vibrant and more rested

In clinical testing on 148 women after 1 product application:
- +128% moisture to plump fine dry lines immediately

In clinical testing on 23 women, measured 2 hours after a single product application:
- +22% barrier repair in just 2 hours
Show less","-Exclusive Night Peptides: Supports skin’s visible renewal.
-Hyaluronic Acid: Locks in moisture.
-Antioxidant Power: Defends skin against free radical damage.

Water\Aqua\Eau, Bifida Ferment Lysate, Peg-8, Propanediol, Bis-Peg-18 Methyl Ether Dimethyl Silane, Methyl Gluceth-20, Glycereth-26, Peg-75, Butylene Glycol, Adansonia Digitata Seed Extract, Tripeptide-32, Sodium Hyaluronate, Yeast Extract\Faex\Extrait De Levure, Lactobacillus Ferment, Cola Acuminata (Kola) Seed Extract, Anthemis Nobilis (Chamomile) Flower Extract, Hydrolyzed Algin, Pantethine, Caffeine, Lecithin, Sodium Rna, Bisabolol, Squalane, Glycerin, Oleth-3 Phosphate, Caprylyl Glycol, Oleth-3, Oleth-5, Choleth-24, Hydrogenated Lecithin, Jojoba Wax Peg-120 Esters, Ceteth-24, Tocopheryl Acetate, Carbomer, Triethanolamine, Tetrasodium Edta, Bht, Xanthan Gum, Potassium Sorbate, Disodium Edta, Phenoxyethanol, Red 4 (Ci 14700), Yellow 5 (Ci 19140).","Suggested Usage:
-Apply this face serum on clean skin before your moisturizer, morning and evening.
-Use one dropper.
-Smooth in gently all over face and neck.

Recycling Instructions:
-Recycle glass bottle and carton."
P516769,Hanyul,Red Rice Hydrating Cream with Ceramide,Moisturizers,Face Creams,$40.00,Size: 1.86 oz/55 ml,https://www.sephora.com/productimages/sku/s2876837-main-zoom.jpg?imwidth=160,130,"Item 2876837
NEW
ONLY AT SEPHORA
What it is: A rich moisturizer infused with Korean fermented red rice and three types of ceramides to help intensely nourish dry skin with plumping hydration.

Skin Type: Normal, Dry, and Combination

Skincare Concerns: Fine Lines and Wrinkles, Dryness, and Loss of Firmness and Elasticity

Formulation: Cream

Highlighted Ingredients:
- Rice Vegan Ceramide (Fermented Rice Extract and Ceramide): Hydrates and strengthens the skin barrier.
- Seaweed (Algae)-Derived Extensin: Works like collagen to help improve visible firmness.
- Squalane, Panthenol (Vitamin B5), and Jojoba Seed Oil: Nourish and moisturize.

Ingredient Callouts: Free of parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, sulfates SLS & SLES, triclocarban, triclosan, and contains less than one percent synthetic fragrance. It is also vegan and gluten-free.

What Else You Need to Know: This gentle, nourishing cream delivers three types of ceramides to your skin and helps maintain and improve moisture retention. Inspired by the idea of slow aging, this daily moisturizer helps promote a visibly plump and smooth appearance while addressing the look of fine lines on the face and neck from dryness. When it’s gone, simply rinse and recycle the glass jar.

Clinical Results: In an instrumental test with 31 women:
- 4.9X hydration boost in 1 use

In an instrumental test with 31 women, after 2 weeks:
- 96% showed improved elasticity and brightness
- 93% showed improved skin texture and neck lines
Show less","-Rice Vegan Ceramide™ (Fermented Rice Extract and Ceramide): Hydrates and strengthens the skin barrier.
-Seaweed (Algae)-Derived Extensin: Works like collagen to help improve visible firmness.
-Squalane, Panthenol (Vitamin B5), and Jojoba Seed Oil: Nourish and moisturize.

Water/Aqua/Eau, Butylene Glycol, Cetyl Ethylhexanoate, Glycerin, Pentaerythrityl Tetraethylhexanoate, Methyl Trimethicone, Niacinamide, C14-22 Alcohols, 1,2 Hexanediol, Butylene Glycol Dicaprylate/Dicaprate, Cetearyl Alcohol, Arachidyl Alcohol, Behenyl Alcohol,Palmitic Acid, Stearic Acid, Ammonium Acryloyldimethyltaurate/VP Copolymer, C12-20 Alkyl Glucoside, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Arachidyl Glucoside, Cholesterol, Hydroxypropyl Bislauramide MEA, Hydroxypropyl Bispalmitamide MEA, Rice Ferment Filtrate (Sake), Ceramide NP, Fragrance/Parfum, Caprylyl Glycol, Tromethamine, Ethylhexylglycerin, Adenosine, Sorbitan Isostearate, Disodium EDTA, Lactobacillus Ferment, Dextrin, Theobroma Cacao (Cocoa) Extract, Hydrolyzed Extensin, Simmondsia Chinensis (Jojoba) Seed Oil, Polyglyceryl-10 Laurate, Synthetic Wax, Hydrogenated Lecithin, Squalane, Tocopherol, Panthenol, Polyglyceryl-10 Stearate.","Suggested Usage:
-After toner and serum, gently massage a dime-size amount onto your face and neck.
-Use morning and night.
-Try pairing with Red Rice Hydrating Serum (sold separately) for an extra dose of hydration and barrier strengthening."
P481114,MAKEUP BY MARIO,MoistureGlow™ Plumping Lip Serum,Lip,Lip Plumper,$24.00,Size 0.08 oz / 2.3 g,https://www.sephora.com/productimages/sku/s2783199-main-zoom.jpg?imwidth=160,2.8K,"Item 2783199
What it is: A hydrating, melting, glossy balm—in a range from neutral to vibrant shades—that visibly plumps lips while delivering a dewy, shiny finish.

Formulation Type: Lip Plumper

Benefits: Hydrating, Plumping

Highlighted Ingredients:
- Shea Butter, Avocado Oil, Refined Kiwi Oil, and Argan Oil: Nourish, hydrate, and condition.

Ingredient Callouts: Free of parabens, formaldehydes, phthalates, mineral oil, and sulfates SLS & SLES. It is also cruelty-free.

What Else You Need to Know: This unique serum quickly melts onto lips and visibly plumps, nourishes, and hydrates with a blend of conditioning, vegan oils. Made in a range of inclusive shades, it has a propel stick for effortless application.
Show less","Diisostearyl Malate, Polyglyceryl-2 Triisostearate, Polybutene, Bis-Diglyceryl Polyacyladipate-2, Caprylic/Capric Triglyceride, Microcrystalline Wax/Cera Microcristallina, Synthetic Wax, Stearalkonium Hectorite, Menthoxypropanediol, Actinidia Chinensis (Kiwi) Seed Oil, Argania Spinosa Kernel Oil, Persea Gratissima (Avocado) Oil, Butyrospermum Parkii (Shea) Butter, Ethylene/Propylene Copolymer, Paraffin, Bht, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Propylene Carbonate, Caprylyl Glycol, Hexylene Glycol, Phenoxyethanol, Vanillyl Butyl Ether, Flavor (Aroma). May Contain/Peut Contenir (+/-): Titanium Dioxide (Ci 77891), Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Blue 1 Lake (Ci 42090), Red 6 (Ci 15850), Red 7 (Ci 15850), Red 22 Lake (Ci 45380), Red 28 Lake (45410), Yellow 5 Lake (Ci 19140), Yellow 6 Lake (Ci 15985).","Suggested Usage:
-Swipe onto bare lips for a moisturizing pop of color.

Pro tip:
-Overline lips with Ultra Suede® Sculpting Lip Pencil (sold separately) before applying for a fuller-, juicier-looking pout."
