product_id,brand,product,category,subcategory,price,size,image,no_of_reviews,about_the_product,ingredients,how_to_use
P482740,Shiseido,Mini Urban Environment Oil-Free SPF 42 Face Sunscreen with Hyaluronic Acid,Sunscreen,Face Sunscreen,$38.00,Size: 1 oz/ 30 mL,https://www.sephora.com/productimages/sku/s2534899-main-zoom.jpg?imwidth=160,69,,,
P512693,Lancôme,Absolue Revitalizing Eye Cream,Eye Care,Eye Creams & Treatments,$175.00,Size: 0.67 oz / 20 ml,https://www.sephora.com/productimages/sku/s2804334-main-zoom.jpg?imwidth=160,183,,,
P476893,NUDESTIX,Nudeskin Citrus-C - Vitamin C Moisturizer & Mask,Moisturizers,Face Creams,$39.00,Size: 2 oz / 60 mL,https://www.sephora.com/productimages/sku/s2530632-main-zoom.jpg?pb=clean-at-sephora&imwidth=160,152,"Item 2530632
What it is: A moisturizer that helps to improve the look of elasticity and tone while nourishing skin texture for visibly soft, smooth, hydrated, and glowing skin.

Skin Type: Normal, Dry, Combination, and Oily

Skincare Concerns: Dryness, Dullness, and Uneven Texture

Formulation: Cream

Highlighted Ingredients:
- Yuzu (Citrus Junos Seed) Oil: High in vitamin C, which helps visibly brighten and deliver antioxidants to skin.
- Turmeric (Curcuma Longa Root) Extract: A natural antioxidant known for helping reduce the appearance of blemishes.

Ingredient Callouts: Free of parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, sulfates SLS & SLES, triclocarban, triclosan, and contains less than one percent synthetic fragrance. It is also vegan, gluten-free, cruelty-free, and comes in recyclable packaging.

What Else You Need to Know: This is a three-in-one: day and night moisturizer, makeup primer, and sleeping mask. Rich and lightweight elastomers help to deeply hydrate while providing a non-greasy, soft, and plump skin feel. The highly absorbent formula gives a velvety skin finish to prep for makeup application.

Skin Renewal is our body’s natural biological process of creating new healthy skin to replace existing damaged skin, via exfoliation. Nudeskin’s science is based on Skin Renewal Optimization (SRO). Skin Renewal Optimization (SRO) works through daily topical dosing of the dermatologist-recommended actives in the Nudeskin’s Four-Step Ritual to get visibly softer, clearer, smoother, and brighter skin.

Clinical Results: Based on a consumer panel:
- 100% of the consumers agreed that Citrus-C Mask & Daily Moisturizer made their skin feel hydrated
- 100% of the consumers agreed that Citrus-C Mask & Daily Moisturizer made their skin feel moisturized
- 100% of the consumers agreed that the aroma of the product was fresh, pleasant, and added to the application experience



Clean at Sephora is our commitment to offering effective products without certain ingredients, such as parabens, sulfates, phthalates, and mineral oils. Learn more here.
Show less",,
P513275,Sarah Creal,Firm Offer Ultimate 4-in-1 Peptide Eye Cream and Primer for Fine Lines,Eye Care,Eye Creams & Treatments,$95.00,Size: 0.5 oz / 15 mL,https://www.sephora.com/productimages/sku/s2823722-main-zoom.jpg?pb=clean-at-sephora&imwidth=160,58,"Item 2823722
ONLY AT SEPHORA
What it is: A lightweight yet intensely hydrating eye cream that visibly brightens dark circles, minimizes lines and wrinkles, and primes your under-eyes for makeup.

Skin Type: Normal, Dry, Combination, and Oily

Skincare Concerns: Fine Lines and Wrinkles, Dark Circles, and Puffiness

Highlighted Ingredients:
- Peptides: Support strong, resilient skin while visibly lifting, firming, and improving texture.
- Hyaluronic Acid: Hydrates, visibly plumps, and creates a silky-smooth texture.
- Caffeine and Jasmine Flower Extract: Visibly brighten dark circles, soothe irritation, and reduce the look of puffiness.

Ingredient Callouts: This product is gluten-free and cruelty-free.

What Else You Need to Know: This ultra-hydrating, weightless eye cream visibly brightens dark circles, minimizes signs of aging, and primes your under-eyes for makeup. The ophthalmologist- and dermatologist-tested formula is clinically shown to lock in moisture for up to 24 hours while reducing the appearance of dark circles, lines, and wrinkles over time.

Clinical Results: In an 8-week clinical study of 33 volunteers (ages 32 to 68):
After 1 application:
- The formula moisturized for 24+ hours

In 8 weeks:
- It reduced the size of dark circles by an average of 9.5%
- It reduced the number of lines and wrinkles by an average of 11.6%


Clean at Sephora is our commitment to offering effective products without certain ingredients, such as parabens, sulfates, phthalates, and mineral oils. Learn more here.
Show less",,
P504433,Paula's Choice,"Pro Collagen Multi-Peptide Booster for Firmer, Smoother Skin",Treatments,Face Serums,$59.00,Size: 0.67 oz / 20 mL,https://www.sephora.com/productimages/sku/s2643658-main-zoom.jpg?imwidth=160,472,"Item 2643658
What it is:  A targeted treatment with six pro-collagen peptides that visibly firms and smooths wrinkles in as little as 15 minutes and over time. 

Skin Type: Normal, Dry, Combination, and Oily

Skincare Concerns: Fine Lines and Wrinkles, Uneven Texture, and Loss of Firmness and Elasticity

Formulation: Lightweight Gel

Highlighted Ingredients:
- 6 Pro-Collagen Peptides: Multi-layer firming support for youthful looking skin
- Amino Acids: Strengthen & reinforce skin to maintain overall health
- Hyaluronic Acid:  Locks in hydration and leaves skin supple & plump        

Ingredient Callouts: Free of parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, sulfates SLS & SLES, triclocarban, triclosan, and contains less than one percent synthetic fragrance. It is also vegan, gluten-free, cruelty-free, and comes in recyclable packaging.

What Else You Need to Know: This lightweight gel serum is formulated with six pro-collagen peptides, hyaluronic acid, and amino acids to support healthy collagen levels & elastin for visibly firmer, smoother skin. It quickly absorbs into skin, layering seamlessly with the rest of your skincare routine and makeup application. 

Clinical Results: Based on an independent clinical study:
- Clinically proven to visibly reduce lines in 15 minutes
- Clinically proven to visibly firm skin in 4 weeks
Show less",,
P443359,Dermalogica,Skin Smoothing Cream Moisturizer,Moisturizers,Face Creams,$77.00,Size: 3.4 oz/ 100 mL,https://www.sephora.com/productimages/sku/s2221141-main-zoom.jpg?imwidth=160,518,"Item 2221141
What it is: A soothing moisturizer for normal and combination skin types that infuses skin with up to 48 hours of hydration and protects it against environmental stress.

Skin Type: Normal, Dry, and Combination

Skincare Concerns: Fine Lines and Wrinkles, Dryness, and Dullness

Highlighted Ingredients:
- Active HydraMesh Technology™: Moisturizing complex that works to infuse skin with up to 48 hours of hydration.
- Aloe: Soothes skin and prevents the appearance of dehydration lines.
- Grapeseed, Vitamin C, and Vitamin E: Antioxidants that nourish skin and reduce free-radical damage.

Ingredient Callouts: Free of parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, sulfates SLS & SLES, triclocarban, triclosan, and contains less than one percent synthetic fragrance. It is also vegan, gluten-free, cruelty-free, and comes in recyclable packaging.

What Else You Need to Know: This face-and-neck moisturizer weightlessly hydrates and is formulated with natural-antioxidant grapeseed, vitamin C, and vitamin E, giving a smoothing effect while shielding from free-radical damage. A dynamic hyaluronic acid complex reduces water loss and distributes hydration throughout the day.
Show less",,
P514578,Fenty Beauty by Rihanna,Thicc N Smooth Rich Peptide Eye Cream,Eye Care,Eye Creams & Treatments,$42.00,Size: 0.5 fl oz / 15 mL,https://www.sephora.com/productimages/sku/s2813814-main-zoom.jpg?pb=clean-at-sephora&imwidth=160,14,"Item 2813814
What it is: An all-in-one eye cream that hydrates, brightens, and reduces the look of puffiness with a blend of eye-targeted peptides, caffeine, and vitamins.

Skin Type: Normal, Dry, Combination, and Oily

Skincare Concerns: Fine Lines and Wrinkles, Dryness, and Loss of Firmness and Elasticity

Formulation: Mask

Highlighted Ingredients:
- Hyaluronic Acid, Kalahari Melon, and Baobab Oil: Help hydrate, renew, and nourish the skin.
- Polyglutamic Acid: A moisture-binding peptide that visibly plump skin with hydration.
- Illipe Butter: Rich in fatty acids, it helps replenish the skin’s moisture.

Ingredient Callouts: This product is vegan, gluten-free, cruelty-free, and comes in recyclable packaging.

What Else You Need to Know: Say goodbye to under-eye dryness and dark circles. This ultra-thick eye cream visibly brightens and works overtime to reduce the look of puffiness, fine lines, wrinkles, and crow's feet around the eye area. The intensely hydrating but nongreasy formula comes in an easy-to-use, twist-up pot for those with long nails.

Clinical Results: In an 8-week clinical study on 50 people:
-96% agreed it leaves the eye area looking more radiant
-94% agreed it refreshes puffy-looking eyes and leaves the eye area looking plumper
-92% agreed it leaves the eye area looking firmer


Clean at Sephora is our commitment to offering effective products without certain ingredients, such as parabens, sulfates, phthalates, and mineral oils. Learn more here.
Show less",,
P477763,Fenty Beauty by Rihanna,Hydra'Reset Intensive Recovery Glycerin Hand Mask,Body Moisturizers,Hand Cream & Foot Cream,$14.00,Size: 1 oz / 30 mL,https://www.sephora.com/productimages/sku/s2648780-main-zoom.jpg?pb=clean-at-sephora&imwidth=160,213,"Item 2648780
ONLY AT SEPHORA
What it is: This mask deeply hydrates and revitalizes hands overnight with 40% moisture-locking glycerin, fruit oils and plant extracts for cloud-soft hands.

Highlighted Ingredients:
- Glycerin 40%: A supple humectant; binds and locks in moisture
- 5% Panthenol: Deeply conditions and soothes
- Murumuru & Mango Butters: Deeply hydrate, nourish and soften

What Else You Need to Know: This mask intensively nourishes and softens hands overnight as the smooth, cushiony texture soaks in deeply conditioning hydration. 40% glycerin locks in moisture and leaves hands with a soft, glossy sheen. Features a refreshing tropical fruit and floral scent.

Clinical Results: In a clinical study of 53 people- Instantly: Hydrates and reduces the look of fine lines and wrinkles After 1 week:
-100% agree it softens hands
-98% agree it helps dry damaged hands recover overnight
-98% agree it comforts and soothes skin



Clean at Sephora is our commitment to offering effective products without certain ingredients, such as parabens, sulfates, phthalates, and mineral oils. Learn more here.
Show less",,
P442871,The INKEY List,Beta Hydroxy Acid (BHA) Blemish + Blackhead Serum,Treatments,Face Serums,$11.00,Size: 1 oz/ 30 mL,https://www.sephora.com/productimages/sku/s2211597-main-zoom.jpg?pb=clean-at-sephora&imwidth=160,476,"Item 2211597
ONLY AT SEPHORA
What it is: An exfoliator that works beneath the surface of the skin to help unclog pores, target blackheads and reduce excess oil.

Skin Type: Normal, Combination, and Oily

Skincare Concerns: Oiliness, Pores, and Acne and Blemishes

Formulation: Lightweight Liquid

Highlighted Ingredients:
- Salicylic Acid 2%: Helps to gently exfoliate the skin and unclogs pores to reduce blemishes.
- Zinc Compound 1%: Helps control oil.
- Mutli Molecular Hyaluronic Acid 1%: Helps to hydrate and plump skin.

Ingredient Callouts: This product is also vegan and cruelty-free.

What Else You Need to Know: Oil soluble, this BHA serum exfoliates the skin and cleans beneath the surface to fight blackheads and breakouts. BHA is great choice for oilier skin as its anti-inflammatory and anti-bacterial properties can help calm breakout prone skin.


Clean at Sephora is our commitment to offering effective products without certain ingredients, such as parabens, sulfates, phthalates, and mineral oils. Learn more here.
Show less",,
P173619,Shiseido,Benefiance WrinkleResist24 Pure Retinol Express Smoothing Eye Mask,Masks,Eye Masks,$72.00,Size: 12 Packettes x 2 Sheets,https://www.sephora.com/productimages/sku/s1594167-main-zoom.jpg?imwidth=160,532,"Item 1594167
What it is: A set of powerful, pure retinol under-eye masks shown to reduce visible wrinkles in 15 minutes.

Skin Type: Normal, Dry, Combination, and Oily

Skincare Concerns: Fine Lines and Wrinkles, Dryness, and Dullness

Formulation: Mask

Highlighted Ingredients:
- Pure Retinol: Provides fast wrinkle-fighting benefits.
- WrinkleResist24 Technology with Super Bio-Hyaluronic Acid: Delivers intense moisturizing and visibly firming benefits.

Ingredient Callouts: Free of parabens, formaldehydes, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, sulfates SLS & SLES, triclocarban, and triclosan. It is also vegan, gluten-free, cruelty-free, and comes in recyclable packaging.

What Else You Need to Know: With state-of-the-art Japanese micro-infusion technology, these individually wrapped, stretchy eye masks deliver pure retinol to quickly hydrate and smooth the look of eye-area wrinkles in as little as one application. These masks can also be used to address smile lines around the mouth. The masks are dermatologist- and ophthalmologist-tested.

Clinical Results: In a test with 102 women,
- 100% said this mask improves the dryness of the eye-area skin
- 89% said this mask softens the eye-area skin
- 86% said this mask improves dullness of the eye-area skin
Show less",,
