pimprod2008820,CeraVe,"Moisturizing Cream, Body and Face Moisturizer",Body Moisturizers,Body Lotion & Creams,$22.99,16.0 oz,https://media.ulta.com/i/ulta/2541606?w=100&h=100&fmt=auto,"16,678 Reviews","Benefits
Provides 24-hour hydration and helps restore the skin's barrier with three essential ceramides
Rich, velvety moisturizing cream formula features hyaluronic acid to leave dry skin feeling smooth and comfortable
Suitable for use as a face cream, body cream and hand cream
Absorbs quickly to soften skin without leaving a greasy or sticky feel
Ideal for all skin types, including sensitive skin
Gentle, non-irritating formula
Hypoallergenic and allergy-tested
Non-comedogenic
Accepted by the National Eczema Association
Developed with dermatologists
Key Ingredients
Ceramides help restore and maintain the skin's natural barrier
Hyaluronic acid attracts hydration to the skin's surface and helps dry skin retain moisture
MVE Technology, a patented delivery system, continually releases moisturizing ingredients
Formulated Without
Fragrance
Parabens
Oil","Purified Water, Glycerin, Cetareth-20 and Cetearyl Alcohol, Caprylic/Capric Triglyceride, Behentrimonium Methosulfate and Cetearyl Alcohol, Cetyl Alcohol, Petrolatum, Dimethicone, Hyaluronic Acid, Ceramide 1, Ceramide 3, Ceramide 6-II, Cholesterol, Phytosphingosine, Potassium Phosphate, Dipotassium phosphate, Phenoxyethanol, Methylparaben, Propylparaben, Disodium EDTA, Sodium Lauroyl Lactylate, Carbomer, Xanthan Gum.","Apply liberally as often as needed, or as directed by a physician to face and body.
Cleanse: Hydrating Facial Cleanser: Cleanses, hydrates and helps restore the protective skin barrier 2. Treat: Hydrating Hyaluronic Acid Face Serum: Replenishes skin hydration while helping restore the protective skin barrier 3. Moisturize: Moisturizing Cream: Moisturizes and helps restore the protective skin barrier 4. Protect: Hydrating 100% mineral sunscreen to reflect the sun's harmful rays plus three essential ceramides to help restore skin's natural barrier"
pimprod2043670,BLUE LIZARD AUSTRALIAN SUNSCREEN,Sensitive Mineral Sunscreen Stick SPF 50+,Suncare,Sunscreen,$9.99,0.5 oz,https://media.ulta.com/i/ulta/2621974?w=100&h=100&fmt=auto,160 Reviews,"Features
Broad spectrum UVA/UVB SPF 50+ mineral sunscreen stick with no chemical active ingredients
Paraben-free, fragrance-free, dye-free
Water resistant (80 minutes)
Applies easily and dries smooth, not sticky
Part of Blue Lizard's ""We Love the Reef"" line of sunscreens with no Oxybenzone and no Octinoxate
Contains moisturizing aloe vera, shea butter, sunflower seed oil and vitamin E
Non-comedogenic formula won't clog pores
Key Ingredients
Zinc Oxide - 20%: A mineral sunscreen active ingredient that works by reflecting UV rays
Aloe Vera: Helps to keep your skin moisturized and softer
Shea Butter: Soothes skin and enhances its moisture levels, promoting a soft and smooth skin
Sunflower Seed Oil: Supports skin hydration and providees antioxidant benefits for healthlier looking skin
Tocopherol (Vitamin E): A powerful antioxidant that moisturizes and softens skin
Formulated Without
Parabens
Fragrances
Dyes
Oxybenzone
Octinoxate","Zinc Oxide (20%), Aloe Barbadensis Leaf Extract, Behenyl Behenate, Butyrospermum Parkii (Shea) Butter, Caprylic/Capric Triglyceride, Cocos Nucifera (Coconut) Oil, Euphorbia Cerifera (Candelilla) Wax, Helianthus Annuus (Sunflower) Seed Oil, Helianthus Annuus (Sunflower) Seed Wax, Polyhydroxystearic Acid, Ricinus Communis (Castor) Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Squalane, Theobroma Cacao (Cocoa) Seed Butter, Tocopherol.","Apply liberally to dry skin 15 minutes before sun exposure. For topical use only. Keep out of reach of children. Children under 6 months of age: Ask a doctor. Sun Protection Measures: Spending time in the sun increases your risk of skin cancer and early skin aging. To decrease this risk, regularly use a sunscreen with a Broad Spectrum SPF value of 15 or higher and other sun protection measures including: Limit time in the sun especially from 10 a.m. - 2 p.m. Wear long-sleeved shirts, pants, hats, and sunglasses. Reapply to dry skin: after 80 minutes of swimming or sweating, immediately after towel drying, at least every 2 hours.
Precautions: When using this product: Keep out of eyes. Rinse with water to remove. Stop use and ask a doctor if rash or irritation occurs. Do not use: on damaged or broken skin or if allergic to any ingredient. If swallowed, get medical help or contact a Poison Control Center."
pimprod2037485,Supergoop!,PLAY 100% Mineral Lotion SPF 50 with Green Algae,Suncare,Sunscreen,$38.00,3.4 oz,https://media.ulta.com/i/ulta/2606309?w=100&h=100&fmt=auto,14 Reviews,"Benefits
Broad spectrum sunscreen that protects against UVA, UVB and IRA rays
Made with sensitive skin in mind, this non-nano zinc oxide and titanium dioxide formula features clean ingredients that gently nourish skin from head to toe
Water- and sweat-resistant for 80 minutes
Ideal for a day of play
For all skin types
Key Ingredients
Green Algae Extract: Protects against IRA and helps reduce the visible effects of free radicals
Tucuma Butter: Helps nourish and protect the skin
Active Ingredients: Titanium Dioxide 2.3%, Zinc Oxide 17.9%
Formulated Without
Supergoop! thoughtfully chooses ingredients based on global regulations and the latest scientific research. Supergoop! ""No List"" includes 1600+ ingredients that are never add in products, including oxybenzone, octinoxate, parabens, phthalates, sulfates and synthetic fragrances.","Active Ingredients: Titanium Dioxide 2.3%, Zinc Oxide 17.9%Inactive Ingredients: Arachidyl Alcohol, Arachidyl Glucoside, Astrocaryum Vulgare Kernel Oil, Behenyl Alcohol, Bisabolol, Butyloctyl Salicylate, C13-14 Alkane, Caprylhydroxamic Acid, Caprylic/Capric Triglyceride, Capryloyl Glycerin/Sebacic Acid Copolymer, Caprylyl Glycol, Cellulose Gum, Cetearyl Alcohol, Cetyl Alcohol, Citric Acid, Coco-Glucoside, Diheptyl Succinate, Erythritol, Ethyl Ferulate, Glycerin, Haematococcus Pluvialis Extract, Jojoba Esters, Lauryl Laurate, Methyl Dihydroabietate, Microcrystalline Cellulose, Neopentyl Glycol Diheptanoate, Polyester-7, Polyester-8, Polyhydroxystearic Acid, Propanediol, Sea Water, Sodium Gluconate, Sodium Stearoyl Glutamate, Tocopherol, Water","Apply generously and evenly 15 minutes before sun exposure. Reapply at least every 2 hours or after 80 minutes of swimming or sweating.
Pro tip: Allow the formula to dry and & ""set"" before swimming or sweating!
Precautions: For external use only. Do not use on damaged or broken skin. Stop use and ask a doctor if rash occurs. When using this product keep out of eyes. Rinse with water to remove. Keep out of reach of children. If swallowed, get medical help or contact a Poison Control Center right away."
pimprod2023113,b.tan,Tanned AF 1 Hour Self Tan Mousse,Suncare,Self-Tanning & Bronzing,$12.99,6.7 oz,https://media.ulta.com/i/ulta/2579909?w=100&h=100&fmt=auto,354 Reviews,"Benefits
Darkest self tan mousse
Rinse in as little as 1 hour, or if you want it crazy dark - double coat it, leave on for 4+ hours
Features
No gimmicks, no fake tan smell just the most awesome, darkest tan on the planet
Streak-free natural finish
Fast drying
Zero orange tones
Formulated Without
Parabens","Aqua (Water), Propylene Glycol, Dihydroxyacetone, Peg-6 Caprylic/Capric Glycerides, Caramel, Dihydroxypropyl Peg-5 Linoleammonium Chloride, Peg-7 Glyceryl Cocoate, Phenoxyethanol, Caprylyl Glycol, Potassium Sorbate, Hexylene Glycol, Melanin, Argania Spinosa (Argan) Kernel Oil, Macadamia Integrifolia (Macadamia) Seed Oil, Cocos Nucifera (Coconut) Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Rosa Canina (Rosehip) Fruit Oil, Vitis Vinifera (Grape) Seed Oil, Persea Gratissima (Avocado) Oil, Cucumis Sativus (Cucumber) Fruit Extract, Ascorbic Acid (Vitamin C), Tocopheryl Acetate (Vitamin E), Yellow 5 (CI 19140), Green 5 (CI 61570), Red 40 (CI 16035), Red 33 (CI 17200), Blue 1 (CI 42090), Yellow 6 (CI 15985).","First up, get naked. Or at least naked enough to tan your super hot bod. Make sure your skin is clean, exfoliated and dry. Apply mousse with your b.tan tan mitt, wash your hands, wait at least 1 hour and then shower. If you want it crazy dark - double coat it, leave on for 4+ hours.
This product does not contain a sunscreen and does not protect against sunburn. Repeated exposure of unprotected skin while tanning may increase the risk of skin aging, skin cancer, and other harmful effects to the skin even if you do not burn. Use only as directed. Avoid contact with eyes & lips. Carry out a patch test 24 hours before use. Do not apply to broken or irritated skin. Store below 30ºC/86ºF in a cool, dark area. Keep out of reach of children. For external use only."
pimprod2046262,RoC,Multi Correxion Hydration+ Moisturizer,Moisturizers,Face Moisturizer,$32.99,1.70 oz,https://media.ulta.com/i/ulta/2625751?w=100&h=100&fmt=auto,10 Reviews,"Benefits
Instantly: 72 hour breathable hydration
In 1 Week: Lines were visibly re-filled
In 2 Weeks: Skin is visibly plumper. 91% saw smoother, brighter, healthy-looking skin
Fast Absorbing
Non-greasy feel and finish
Suitable for all skin types, including sensitive and oily skin
Features
7 forms of Hyaluronic Acid-Instantly fills lines & replenishes hydration levels
10 Lipids-retains moisture to plump and smooth skin
3 Collagen Proteins-Improves elasticity & re-fills lines and wrinkles over time.
Non-comedogenic
Hypoallergenic
Dermatologist tested
Formulated Without
Fragrance
Parabens","Water (Aqua/Eau), Isododecane, Butylene Glycol, Phenyl Trimethicone, Dimethicone, Cetyl Alcohol, Glyceryl Stearate, Isosorbide Dicaprylate, Cetearyl Alcohol, Glyceryl Stearate Citrate, Butyrospermum Parkii (Shea) Butter, Bis-Diglyceryl Polyacyladipate-2, Stearic Acid, Glycerin, Sodium Hyaluronate, Hydrolyzed Haematococcus Pluvialis Extract, Hibiscus Sabdariffa Fruit Extract, Haematococcus Pluvialis Extract, Ceramide NP, Ceramide NG, Hydroxyapatite, Squalane, Beta Sitosterol, Propanediol, Glyceryl Caprylate, Oleic Acid, 1,2-Hexanediol, Ethylhexyl Palmitate, Tocopheryl Acetate, Tocopherol, Erythritol, Euphorbia Cerifera (Candelilla) Wax (Euphorbia Cerifera Cera/Cire de candelilla), Carbomer, Sodium Acrylates Copolymer, Trihydroxystearin, Xanthan Gum, Polysilicone-11, Ethylhexylglycerin, Lecithin, Glyceryl Behenate, Polyglyceryl-4 Isostearate, Glucomannan, Disodium EDTA, Phenoxyethanol, Sodium Hydroxide.",Apply after serum to face and neck in the AM and/or PM.
pimprod2049198,BLUE LIZARD AUSTRALIAN SUNSCREEN,Sport Mineral SPF 50 Lotion,Suncare,Sunscreen,$19.99,5.0 oz,https://media.ulta.com/i/ulta/2634998?w=100&h=100&fmt=auto,2 Reviews,"Features
100% MINERAL SUNSCREEN - Mineral-only SPF formula for broad spectrum protection.
POWERFUL SPF 50 PROTECTION - Protects skin from 98% of UVB rays.
WATER-RESISTANT FORMULA - Maximum water resistance (80 minutes) while you work out.
IDEAL FOR ATHLETES - Made with skin-energizing electrolytes.
Formulated fragrances or harsh chemical sunscreen active ingredients
Key Ingredients
Zinc Oxide - 10%
Titanium Dioxide - 8%
Electrolytes
Formulated Without
Parabens
Phthalates
Oxybenzone
Octinoxate
Drying Alcohols","Titanium Dioxide 8%, Zinc Oxide 10%, 1,2-Hexanediol, Alumina, Aluminum Stearate, Butyloctyl Salicylate, C12-15 Alkyl Benzoate, Caprylyl Glycol, Cetyl Dimethicone, Cetyl PEG/PPG-10/1 Dimethicone, Copper Gluconate, Dimethicone, Disodium EDTA, Ethylhexyl Palmitate, Ethylhexyl Stearate, Euphorbia Cerifera (Candelilla) Wax, Hexyl Laurate, Hydroxyacetophenone, Magnesium Aspartate, Methyl Glucose Dioleate, Octyldodecyl Neopentanoate, PEG-7 Hydrogenated Castor Oil, Pentylene Glycol, Polyglyceryl-4 Isostearate, Polyhydroxystearic Acid, Propanediol, Tocopherol (Vitamin E), Tocopheryl Acetate, Triethoxycaprylylsilane, Trimethylsiloxysilicate, VP/Hexadecene Copolymer, Water, Zinc Gluconate.","Shake well prior to use.
Apply liberally to dry skin 15 minutes before sun exposure.
For topical use only.
Keep out of reach of children.
Children under 6 months of age: Ask a doctor.
Sun Protection Measures:
Spending time in the sun increases your risk of skin cancer and early skin aging. To decrease this risk, regularly use a sunscreen with a broad spectrum SPF value of 15 or higher and other sun protection measures including:
Limit time in the sun, especially from 10 a.m. to 2 p.m.
Wear long-sleeved shirts, pants, hats and sunglasses.
Reapply:
After 80 minutes of swimming or sweating.
Immediately after towel drying.
At least every 2 hours.
Other Information:
Protect the product in the container from excessive heat and direct sun.
May stain some fabrics.
Precautions: For external use only. Do not use on damaged or broken skin. When using this product keep out of eyes. Rinse with water to remove. Stop use and ask a doctor if rash occurs. Keep out of reach of children. If swallowed, get medical help or contact a Poison Control Center right away."
pimprod2045670,Naturium,Purple Ginseng Cleansing Balm,Cleansers,Cleansing Balms & Oils,$19.99,3.0 oz,https://media.ulta.com/i/ulta/2627357?w=100&h=100&fmt=auto,350 Reviews,"Benefits
A sorbet-like cleansing balm that melts into skin
Dissolves dirt, oil, makeup, sunscreen and other impurities
Emulsifies upon contact
Dermatologist tested
Fragrance free
Vegan, paraben & cruelty free
Features
Sorbet-like balm-to-oil formula contains linoleic-rich oils that work to dissolve makeup, oil, sunscreen, and other impurities, plus rinses clean. Great as a first cleanse or as your only cleanse
Developed for all skin types
Formulated with purple ginseng, plant-based esters and a nourishing blend of linoleic-rich oils
Does not contain any PEGs or polyethylene
Key Ingredients
Emulsifiers rich with Fatty Acids & Linoleic Oils: leaves skin feeling silky smooth and velvety-soft, promotes a conditioned and supple skin barrier, leaving skin feeling moisturized, not greasy or oily; leaves skin feeling conditioned, nourished and cleansed.
Neem Leaf & Flower Extract: potent antioxidant, rich in flavanoids and polyphenols
Red Algae Extract: contains natural minerals, including magnesium and zinc, helps soothe dry skin
Aloe Flower Extract: powerful skin conditioner with humectant properties","Ethylhexyl Palmitate, Coco-Caprylate/Caprate, Synthetic Wax, Polyglyceryl-10 Dioleate, Sorbitan Oleate Decylglucoside Crosspolymer, Isoamyl Cocoate, Glyceryl Citrate/Lactate/Linoleate/Oleate, Polygonum Bistorta Root Extract, Salvia Hispanica Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Sorbitan Sesquioleate, Glyceryl Laurate, Aloe Barbadensis Flower Extract, Melia Azadirachta Leaf Extract, Ocimum Sanctum Leaf Extract, Melia Azadirachta Flower Extract, Aqua, Glyceryl Caprylate, Polyglyceryl-3 Caprate, Polyglyceryl-4 Cocoate, Coccinia Indica Fruit Extract, Corallina Officinalis Extract, Solanum Melongena (Eggplant) Fruit Extract, Curcuma Longa (Turmeric) Root Extract, Ocimum Basilicum (Basil) Flower/Leaf Extract, Glycerin, Phenoxyethanol, Pentylene Glycol, Sodium Chloride, Alcohol, Tocopherol.","Using dry hands, work a generous amount of the cleansing balm onto dry skin and add water to emulsify. Rinse thoroughly and follow with second cleanse. Wear SPF during the day. Patch test prior to use is advised.
For external use only. Use only as directed."
pimprod2049021,Murad,Renewing Cleansing Cream,Cleansers,Face Wash,$36.00,5.0 oz,https://media.ulta.com/i/ulta/2631729?w=100&h=100&fmt=auto,131 Reviews,"Benefits
Silky cream cleanser lifts away dirt, oil and impurities while nourishing skin
Non-drying, comforting lather replenishes skin and provides intense hydration
Scientifically proven and dermatologist developed
Key Ingredients
Gentle lactic acid, rejuvenating peptide and antioxidant vitamin E blend: helps smooth and renew for a more youthful-looking complexion
Apricot and starflower oils: provide intense hydration and replenish for more nourished skin
Essential fatty acids: rich in omegas from evening primrose and apricot oil to help maintain skin's moisture
Formulated Without
Parabens, sulfates, phthalates, gluten, mineral oil, formaldehyde, oxybenzone, petrolatum, animal-derived ingredients","Water/Aqua/Eau, Sodium Cocoyl Isethionate, Glyceryl Stearate SE, Glycerin, Stearic Acid, Cetyl Alcohol, Prunus Armeniaca (Apricot) Kernel Oil, Palmitoyl Tripeptide-5, Butyrospermum Parkii (Shea) Butter Extract, Cocamidopropyl Dimethylamine, Lactic Acid, Hydrated Silica, Phenylethyl Resorcinol, Hydrolyzed Corn Starch, Sodium Hydroxide, Urea, Yeast Amino Acids, Trehalose , Inositol, Taurine, Betaine, Borago Officinalis Seed Oil, Oenothera Biennis (Evening Primrose) Seed Extract, Serenoa Serrulata Fruit Extract, Panthenol, Chondrus Crispus Extract, Chamomilla Recutita (Matricaria) Flower Extract, Sodium Hyaluronate, Imperata Cylindrica Root Extract, Benzophenone-4, Butylene Glycol, PEG-8, Benzalkonium Chloride, Carbomer, Xanthan Gum, Phenoxyethanol, Caprylyl Glycol, Chlorphenesin, Fragrance (Parfum).","To Use: AM and PM
Massage over dampened face and neck. Rinse and pat dry.
Avoid contact with eyes."
pimprod2042751,fresh,Lotus Youth Preserve Line & Texture Smoothing Moisturizer,Moisturizers,Face Moisturizer,$59.00,1.6 oz,https://media.ulta.com/i/ulta/2617054?w=100&h=100&fmt=auto,"4,897 Reviews","Benefits
Smoothes texture & the look of fine lines
Boosts radiance for a youthful look
Delivers 24hr hydration** & preps for makeup
**instrumental test, 30 subjects
Key Ingredients
Super Lotus smoothes lines & helps to boost radiance
Star fruit leaf extract smoothes while helping to reduce visible wrinkles
Polyglutamic acid works to lock in moisture & comfort
Vitamin E helps protect & soothe
Research Results
Clinically proven to smooth texture & fine lines*
+19% radiance observed**
97% agreed it created a smooth canvas for makeup***
+14% smoother skin after 1 application****
24hr hydration****
+17% smoother skin observed after 4 weeks**
*clinical assessment by dermatologist, 30 subjects, 4 weeks
**self-assessment by scoring, 30 subjects, 4 weeks
***self-assessment, 104 subjects, 4 weeks
****instrumental test, 30 subjects","Aqua (water), Glycerin, Propylene Glycol Dicaprylate/dicaprate, Cetearyl Alcohol, Pentylene Glycol, Caprylic/capric Triglyceride, Ethylhexyl Palmitate, C10-18 Triglycerides, Betaine, Polyglycerin-3, Nelumbo Nucifera Extract, Citrus Limon (lemon) Peel Oil, Averrhoa Carambola Leaf Extract, Cucumis Sativus (cucumber) Fruit Extract, Helianthus Annuus (sunflower) Seed Oil, Tocopherol, Cetearyl Glucoside, Sorbitol, Caprylyl Glycol, Potassium Cetyl Phosphate, Behenyl Alcohol, Carbomer, Silica, Sodium Pca, Cetyl Alcohol, Stearyl Alcohol, Butylene Glycol, Pentaerythrityl Tetraisostearate, Sodium Hydroxide, Xanthan Gum, Adenosine, Sodium Polyglutamate, Sodium Phytate, Propanediol, Caramel, Chlorphenesin, Sodium Metabisulfite, Potassium Sorbate, Sodium Benzoate, Limonene, Citral \<18907\>.","Apply to clean skin twice a day, morning and night."
pimprod2025805,Buttah Skin,AHA/BHA Rosewater Toner,Cleansers,Toner,$21.00,,https://media.ulta.com/i/ulta/2585284?w=100&h=100&fmt=auto,"1,517 Reviews","Benefits
Innovative multi-function toner-exfoliator that gently cleans, refreshes and balances skin for a radiant, petal-soft complexion
The soothing scent of Damascus Rose and Lavender linger beautifully
Features
Alpha and Beta Hydroxy Salicylic Acids balance excess oil and unclog pores for fresh, youthful, healthy-looking skin
Lavender Essential Oil, soothes with skin-calming properties and helps reduce stress with its natural therapeutic scent","Water, Rosa Damascena Flower Extract, Aloe Barbadensis Leaf Juice, Polysorbate 20, Propanediol 1,3, Ethoxydiglycol, Glycerin, Phenoxyethanol, Ethylhexylglycerin, Salicylic Acid, Cocamidopropyl Dimethylamine, Alcohol Denatured, Passiflora Quadrangularis Fruit Extract, Citrus Medica Limonum Extract, Ananas Sativus Fruit Extract, Vitis Vinifera Fruit Extract, Lavandula Angustifolia (Lavender) Flower Oil, Tocopherol and Triethanolamine.","Soak a cotton pad with Buttah Rosewater Toner and gently pat it over your face, neck, and chest. Use toner after washing your face, and before using Buttah Vitamin C Serum and moisturizer. You can also skip the cotton pad and put a few drops of toner into the palms of your hands and then delicately press them into your face."
